"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 26 17:04:58 CST 2026","Tue May 26 17:04:58 CST 2026","0","","allure_test","","","","hhh",""
"passed","Tue May 26 17:04:58 CST 2026","Tue May 26 17:04:58 CST 2026","0","","test_base","","","","test_ok",""
"passed","Tue May 26 17:04:59 CST 2026","Tue May 26 17:04:59 CST 2026","0","","test_example","Test_add","","","test_ddt[1-4-5]",""
"passed","Tue May 26 17:05:01 CST 2026","Tue May 26 17:05:02 CST 2026","1618","","test_web","","","","test_web",""
"broken","Tue May 26 17:04:59 CST 2026","Tue May 26 17:04:59 CST 2026","0","","test_example","Test_add","","","test_ddt[a-b-195]",""
"passed","Tue May 26 17:04:59 CST 2026","Tue May 26 17:04:59 CST 2026","1","","test_example","Test_add","","","test_ddt[1-2-3]",""
"passed","Tue May 26 17:04:59 CST 2026","Tue May 26 17:04:59 CST 2026","0","","test_example","Test_add","","","test_ddt[2-2-4]",""
"failed","Tue May 26 17:04:58 CST 2026","Tue May 26 17:04:58 CST 2026","0","","test_base","","","","test_fail",""
"passed","Tue May 26 17:04:59 CST 2026","Tue May 26 17:04:59 CST 2026","0","","test_example","Test_add","","","test_add",""
"passed","Tue May 26 17:04:58 CST 2026","Tue May 26 17:04:58 CST 2026","0","","allure_test","","","","hh",""
"passed","Tue May 26 17:04:59 CST 2026","Tue May 26 17:04:59 CST 2026","0","","test_example","Test_add","","","test_list",""
"passed","Tue May 26 17:04:59 CST 2026","Tue May 26 17:04:59 CST 2026","0","","test_example","Test_add","","","test_ddt[5-5-10]",""
"passed","Tue May 26 17:04:59 CST 2026","Tue May 26 17:04:59 CST 2026","0","","test_example","Test_add","","","test_str",""
